Date : 2025-11-16 11:22:34
Directory : d:\Mycodes\Gitrepos\javascript-algorithms
Total : 621 files,  47073 codes, 4544 comments, 9455 blanks, all 61072 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\clearBit.js                                                                           | JavaScript |          4 |          5 |          2 |         11 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\countSetBits.js                                                                       | JavaScript |          9 |          6 |          4 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\divideByTwo.js                                                                        | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\fullAdder.js                                                                          | JavaScript |         16 |         47 |          8 |         71 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\getBit.js                                                                             | JavaScript |          3 |          5 |          1 |          9 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\isEven.js                                                                             | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\isPositive.js                                                                         | JavaScript |          6 |          6 |          2 |         14 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\isPowerOfTwo.js                                                                       | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\multiply.js                                                                           | JavaScript |         14 |         23 |          5 |         42 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\multiplyByTwo.js                                                                      | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\multiplyUnsigned.js                                                                   | JavaScript |         13 |         25 |          6 |         44 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\setBit.js                                                                             | JavaScript |          3 |          5 |          1 |          9 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\switchSign.js                                                                         | JavaScript |          3 |          5 |          1 |          9 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\bits\updateBit.js                                                                          | JavaScript |          5 |          9 |          3 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\complex-number\ComplexNumber.js                                                            | JavaScript |         84 |         54 |         23 |        161 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\complex-number\README.fr-FR.md                                                             | Markdown   |        161 |          0 |         77 |        238 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\complex-number\README.md                                                                   | Markdown   |        153 |          0 |         76 |        229 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\complex-number\__test__\ComplexNumber.test.js                                              | JavaScript |        135 |          0 |         47 |        182 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\README.fr-FR.md                                                        | Markdown   |         37 |          0 |         13 |         50 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\README.md                                                              | Markdown   |         48 |          0 |         13 |         61 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\__test__\euclideanAlgorithm.test.js                                    | JavaScript |         25 |          0 |          2 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\__test__\euclideanAlgorithmIterative.test.js                           | JavaScript |         25 |          0 |          2 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\euclideanAlgorithm.js                                                  | JavaScript |          5 |          9 |          2 |         16 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-algorithm\euclideanAlgorithmIterative.js                                         | JavaScript |          8 |         10 |          3 |         21 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-distance\README.md                                                               | Markdown   |         19 |          0 |         18 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-distance\__tests__\euclideanDistance.test.js                                     | JavaScript |         20 |          0 |          4 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\euclidean-distance\euclideanDistance.js                                                    | JavaScript |         11 |         11 |          7 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.fr-FR.md                                                                  | Markdown   |         29 |          0 |          7 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.ka-GE.md                                                                  | Markdown   |         27 |          0 |          6 |         33 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.md                                                                        | Markdown   |         29 |          0 |          7 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.tr-TR.md                                                                  | Markdown   |         32 |          0 |          7 |         39 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.uk-UA.md                                                                  | Markdown   |         27 |          0 |          7 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\README.zh-CN.md                                                                  | Markdown   |         23 |          0 |          5 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\__test__\factorial.test.js                                                       | JavaScript |         10 |          0 |          2 |         12 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\__test__\factorialRecursive.test.js                                              | JavaScript |         10 |          0 |          2 |         12 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\factorial.js                                                                     | JavaScript |          7 |          4 |          3 |         14 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\factorial\factorialRecursive.js                                                            | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fast-powering\README.fr-FR.md                                                              | Markdown   |         48 |          0 |         26 |         74 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fast-powering\README.md                                                                    | Markdown   |         46 |          0 |         26 |         72 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fast-powering\__test__\fastPowering.test.js                                                | JavaScript |         22 |          0 |          2 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fast-powering\fastPowering.js                                                              | JavaScript |         11 |         17 |          3 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\README.fr-FR.md                                                                  | Markdown   |         15 |          0 |         10 |         25 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\README.ka-GE.md                                                                  | Markdown   |         12 |          0 |          9 |         21 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\README.md                                                                        | Markdown   |         16 |          0 |         10 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\README.zh-CN.md                                                                  | Markdown   |         13 |          0 |         11 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\__test__\fibonacci.test.js                                                       | JavaScript |         15 |          0 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\__test__\fibonacciNth.test.js                                                    | JavaScript |         22 |          0 |          2 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\__test__\fibonacciNthClosedForm.test.js                                          | JavaScript |         23 |          0 |          4 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\fibonacci.js                                                                     | JavaScript |         16 |          6 |          8 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\fibonacciNth.js                                                                  | JavaScript |         14 |          6 |          6 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fibonacci\fibonacciNthClosedForm.js                                                        | JavaScript |          9 |         11 |          4 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\README.fr-FR.md                                                          | Markdown   |         93 |          0 |         43 |        136 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\README.md                                                                | Markdown   |         94 |          0 |         40 |        134 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\__test__\FourierTester.js                                                | JavaScript |        268 |         16 |         12 |        296 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\__test__\discreteFourierTransform.test.js                                | JavaScript |          7 |          0 |          2 |          9 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\__test__\fastFourierTransform.test.js                                    | JavaScript |         80 |          6 |         16 |        102 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\__test__\inverseDiscreteFourierTransform.test.js                         | JavaScript |          7 |          0 |          2 |          9 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\discreteFourierTransform.js                                              | JavaScript |         27 |         30 |         13 |         70 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\fastFourierTransform.js                                                  | JavaScript |         47 |         15 |         16 |         78 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\fourier-transform\inverseDiscreteFourierTransform.js                                       | JavaScript |         29 |         18 |         12 |         59 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\horner-method\README.md                                                                    | Markdown   |         11 |          0 |         10 |         21 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\horner-method\__test__\classicPolynome.test.js                                             | JavaScript |         13 |          0 |          2 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\horner-method\__test__\hornerMethod.test.js                                                | JavaScript |         19 |          0 |          3 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\horner-method\classicPolynome.js                                                           | JavaScript |          8 |          8 |          1 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\horner-method\hornerMethod.js                                                              | JavaScript |          8 |          8 |          1 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\integer-partition\README.md                                                                | Markdown   |         26 |          0 |          9 |         35 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\integer-partition\__test__\integerPartition.test.js                                        | JavaScript |         13 |          0 |          2 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\integer-partition\integerPartition.js                                                      | JavaScript |         23 |         28 |          7 |         58 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\is-power-of-two\README.md                                                                  | Markdown   |         38 |          0 |         14 |         52 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\is-power-of-two\__test__\isPowerOfTwo.test.js                                              | JavaScript |         22 |          0 |          2 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\is-power-of-two\__test__\isPowerOfTwoBitwise.test.js                                       | JavaScript |         22 |          0 |          2 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\is-power-of-two\isPowerOfTwo.js                                                            | JavaScript |         13 |          9 |          4 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\is-power-of-two\isPowerOfTwoBitwise.js                                                     | JavaScript |          6 |         19 |          2 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\least-common-multiple\README.md                                                            | Markdown   |         44 |          0 |         19 |         63 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\least-common-multiple\__test__\leastCommonMultiple.test.js                                 | JavaScript |         17 |          0 |          2 |         19 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\least-common-multiple\leastCommonMultiple.js                                               | JavaScript |          4 |          5 |          3 |         12 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\liu-hui\README.md                                                                          | Markdown   |         64 |          0 |         29 |         93 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\liu-hui\__test__\liuHui.test.js                                                            | JavaScript |         15 |          0 |          5 |         20 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\liu-hui\liuHui.js                                                                          | JavaScript |         22 |         24 |          9 |         55 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\matrix\Matrix.js                                                                           | JavaScript |        153 |        123 |         34 |        310 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\matrix\README.md                                                                           | Markdown   |         34 |          0 |         30 |         64 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\matrix\__tests__\Matrix.test.js                                                            | JavaScript |        401 |          0 |         55 |        456 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\pascal-triangle\README.md                                                                  | Markdown   |         47 |          0 |         18 |         65 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\pascal-triangle\__test__\pascalTriangle.test.js                                            | JavaScript |         13 |          0 |          2 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\pascal-triangle\__test__\pascalTriangleRecursive.test.js                                   | JavaScript |         13 |          0 |          2 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\pascal-triangle\pascalTriangle.js                                                          | JavaScript |          8 |          5 |          4 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\pascal-triangle\pascalTriangleRecursive.js                                                 | JavaScript |         15 |          9 |          7 |         31 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\primality-test\README.md                                                                   | Markdown   |         20 |          0 |          6 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\primality-test\__test__\trialDivision.test.js                                              | JavaScript |         29 |          4 |          5 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\primality-test\trialDivision.js                                                            | JavaScript |         21 |          9 |          6 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\prime-factors\README.md                                                                    | Markdown   |         21 |          0 |         17 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\prime-factors\README.zh-CN.md                                                              | Markdown   |         21 |          0 |         18 |         39 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\prime-factors\__test__\primeFactors.test.js                                                | JavaScript |         67 |          6 |         15 |         88 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\prime-factors\primeFactors.js                                                              | JavaScript |         17 |         20 |          6 |         43 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\radian\README.md                                                                           | Markdown   |         25 |          0 |         12 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\radian\__test__\degreeToRadian.test.js                                                     | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\radian\__test__\radianToDegree.test.js                                                     | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\radian\degreeToRadian.js                                                                   | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\radian\radianToDegree.js                                                                   | JavaScript |          3 |          4 |          1 |          8 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\sieve-of-eratosthenes\README.md                                                            | Markdown   |         20 |          0 |         13 |         33 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\sieve-of-eratosthenes\__test__\sieveOfEratosthenes.test.js                                 | JavaScript |         11 |          0 |          2 |         13 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\sieve-of-eratosthenes\sieveOfEratosthenes.js                                               | JavaScript |         17 |         14 |          6 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\square-root\README.md                                                                      | Markdown   |         41 |          0 |         22 |         63 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\square-root\__test__\squareRoot.test.js                                                    | JavaScript |         60 |          0 |         10 |         70 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\math\square-root\squareRoot.js                                                                  | JavaScript |         14 |         21 |          6 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\k-means\README.md                                                                            | Markdown   |         24 |          0 |         17 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\k-means\README.pt-BR.md                                                                      | Markdown   |         21 |          0 |         15 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\k-means\__test__\kMeans.test.js                                                              | JavaScript |         34 |          0 |          7 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\k-means\kMeans.js                                                                            | JavaScript |         51 |         23 |         12 |         86 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\knn\README.md                                                                                | Markdown   |         25 |          0 |         20 |         45 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\knn\README.pt-BR.md                                                                          | Markdown   |         25 |          0 |         20 |         45 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\knn\__test__\knn.test.js                                                                     | JavaScript |         61 |          0 |         11 |         72 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\ml\knn\kNN.js                                                                                   | JavaScript |         39 |         15 |          7 |         61 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\binary-search\README.es-ES.md                                                            | Markdown   |         20 |          0 |          8 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\binary-search\README.md                                                                  | Markdown   |         20 |          0 |          8 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\binary-search\README.pt-BR.md                                                            | Markdown   |         16 |          0 |          8 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\binary-search\__test__\binarySearch.test.js                                              | JavaScript |         30 |          0 |          5 |         35 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\binary-search\binarySearch.js                                                            | JavaScript |         18 |         19 |          8 |         45 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\interpolation-search\README.md                                                           | Markdown   |         29 |          0 |         12 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\interpolation-search\__test__\interpolationSearch.test.js                                | JavaScript |         23 |          0 |          2 |         25 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\interpolation-search\interpolationSearch.js                                              | JavaScript |         25 |         20 |          8 |         53 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\jump-search\README.md                                                                    | Markdown   |         20 |          0 |          8 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\jump-search\__test__\jumpSearch.test.js                                                  | JavaScript |         35 |          0 |          5 |         40 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\jump-search\jumpSearch.js                                                                | JavaScript |         26 |         17 |          9 |         52 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\linear-search\README.md                                                                  | Markdown   |         17 |          0 |          7 |         24 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\linear-search\README.pt-BR.md                                                            | Markdown   |         13 |          0 |          7 |         20 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\linear-search\__test__\linearSearch.test.js                                              | JavaScript |         32 |          0 |          9 |         41 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\search\linear-search\linearSearch.js                                                            | JavaScript |         11 |          8 |          4 |         23 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\cartesian-product\README.md                                                                | Markdown   |          9 |          0 |          6 |         15 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\cartesian-product\__test__\cartesianProduct.test.js                                        | JavaScript |         15 |          0 |          5 |         20 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\cartesian-product\cartesianProduct.js                                                      | JavaScript |         12 |         12 |          4 |         28 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combination-sum\README.md                                                                  | Markdown   |         45 |          0 |         16 |         61 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combination-sum\__test__\combinationSum.test.js                                            | JavaScript |         19 |          0 |          6 |         25 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combination-sum\combinationSum.js                                                          | JavaScript |         31 |         26 |          9 |         66 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combinations\README.md                                                                     | Markdown   |         42 |          0 |         27 |         69 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combinations\__test__\combineWithRepetitions.test.js                                       | JavaScript |         51 |          0 |          9 |         60 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combinations\__test__\combineWithoutRepetitions.test.js                                    | JavaScript |         52 |          1 |         12 |         65 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combinations\combineWithRepetitions.js                                                     | JavaScript |         16 |         12 |          5 |         33 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\combinations\combineWithoutRepetitions.js                                                  | JavaScript |         16 |         12 |          5 |         33 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\fisher-yates\README.md                                                                     | Markdown   |         12 |          0 |          4 |         16 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\fisher-yates\__test__\fisherYates.test.js                                                  | JavaScript |         16 |          0 |          4 |         20 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\fisher-yates\fisherYates.js                                                                | JavaScript |          8 |          5 |          3 |         16 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\knapsack-problem\Knapsack.js                                                               | JavaScript |        121 |         49 |         26 |        196 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\knapsack-problem\KnapsackItem.js                                                           | JavaScript |         20 |          9 |          5 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\knapsack-problem\README.md                                                                 | Markdown   |         48 |          0 |         22 |         70 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\knapsack-problem\__test__\Knapsack.test.js                                                 | JavaScript |        127 |          0 |         36 |        163 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\knapsack-problem\__test__\KnapsackItem.test.js                                             | JavaScript |         29 |          0 |          7 |         36 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-common-subsequence\README.md                                                       | Markdown   |         18 |          0 |          8 |         26 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-common-subsequence\__test__\longestCommonSubsequence.test.js                       | JavaScript |         24 |          0 |          8 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-common-subsequence\__test__\longestCommonSubsequenceRecursive.test.js              | JavaScript |         16 |          0 |          2 |         18 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-common-subsequence\longestCommonSubsequence.js                                     | JavaScript |         39 |         14 |          8 |         61 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-common-subsequence\longestCommonSubsequenceRecursive.js                            | JavaScript |         15 |         14 |          8 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-increasing-subsequence\README.md                                                   | Markdown   |         32 |          0 |         15 |         47 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-increasing-subsequence\__test__\dpLongestIncreasingSubsequence.test.js             | JavaScript |         17 |         15 |          5 |         37 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\longest-increasing-subsequence\dpLongestIncreasingSubsequence.js                           | JavaScript |         25 |         21 |          8 |         54 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\README.md                                                                 | Markdown   |         20 |          0 |         10 |         30 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\__test__\bfMaximumSubarray.test.js                                        | JavaScript |         15 |          0 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\__test__\dcMaximumSubarraySum.test.js                                     | JavaScript |         15 |          0 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\__test__\dpMaximumSubarray.test.js                                        | JavaScript |         15 |          0 |          2 |         17 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\bfMaximumSubarray.js                                                      | JavaScript |         17 |          7 |          3 |         27 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\dcMaximumSubarraySum.js                                                   | JavaScript |         12 |         21 |          1 |         34 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\maximum-subarray\dpMaximumSubarray.js                                                      | JavaScript |         20 |         19 |          7 |         46 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\permutations\README.md                                                                     | Markdown   |         33 |          0 |         23 |         56 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\permutations\__test__\permutateWithRepetitions.test.js                                     | JavaScript |         48 |          0 |          5 |         53 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\permutations\__test__\permutateWithoutRepetitions.test.js                                  | JavaScript |         62 |          0 |          7 |         69 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\permutations\permutateWithRepetitions.js                                                   | JavaScript |         19 |          8 |          5 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\permutations\permutateWithoutRepetitions.js                                                | JavaScript |         17 |          8 |          7 |         32 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\README.md                                                                        | Markdown   |         79 |          0 |         34 |        113 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\__test__\btPowerSet.test.js                                                      | JavaScript |         19 |          0 |          3 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\__test__\bwPowerSet.test.js                                                      | JavaScript |         19 |          0 |          3 |         22 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\__test__\caPowerSet.test.js                                                      | JavaScript |         25 |          0 |          4 |         29 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\btPowerSet.js                                                                    | JavaScript |         12 |         24 |          6 |         42 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\bwPowerSet.js                                                                    | JavaScript |         14 |         15 |          6 |         35 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\power-set\caPowerSet.js                                                                    | JavaScript |         11 |         23 |          4 |         38 |
| d:\Mycodes\Gitrepos\javascript-algorithms\src\algorithms\sets\shortest-common-supersequence\README.md                                                    | Markdown   |         16 |          0 |          9 |         25 |
